1, -100

2, 72.05

3, -100

4, 74.07

5, -100

1, -100

2, 72.05

3, -100

4, 74.07

5, -100

1, -100

2, 72.05

3, -100

4, 74.19

5, -100

1, -100

2, 72.05

3, -100

4, 74.19

5, -100

1, -100

2, 72.16

3, -100

4, 74.19

5, -100

1, -100

2, 72.05

3, -100

4, 74.19

5, -100

1, -100

2, 72.05

3, -100

4, 74.19

5, -100

1, -100

2, 72.05

3, -100

4, 74.07

5, -100

1, -100

2, 72.16

3, -100

4, 74.19

5, -100

1, -100

2, 72.16

3, -100

4, 74.19

5, -100

1, -100

2, 72.16

3, -100

4, 74.07

5, -100

1, -100

2, 72.16

3, -100

4, 74.19

5, -100

1, -100

2, 72.28

3, -100

4, 74.07

5, -100

1, -100

2, 72.39

3, -100

4, 74.19

5, -100

1, -100

2, 72.39

3, -100

4, 74.19

5, -100

1, -100

2, 72.50

3, -100

4, 74.19

5, -100

1, -100

2, 72.50

3, -100

4, 74.19

5, -100

1, -100

2, 72.61

3, -100

4, 74.19

5, -100

1, -100

2, 72.61

3, -100

4, 74.07

5, -100

1, -100

2, 72.72

3, -100

4, 74.07

5, -100

1, -100

2, 72.72

3, -100

4, 74.19

5, -100

1, -100

2, 72.72

3, -100

4, 74.07

5, -100

1, -100

2, 72.84

3, -100

4, 74.19

5, -100

1, -100

2, 72.84

3, -100

4, 74.19

5, -100

1, -100

2, 72.84

3, -100

4, 74.19

5, -100

1, -100

2, 72.95

3, -100

4, 74.07

5, -100

1, -100

2, 72.95

3, -100

4, 74.07

5, -100

1, -100

2, 72.95

3, -100

4, 74.19

5, -100

1, -100

2, 72.95

3, -100

4, 74.19

5, -100

1, -100

2, 72.95

3, -100

4, 74.07

5, -100

1, -100

2, 73.06

3, -100

4, 74.19

5, -100

1, -100

2, 73.06

3, -100

4, 74.19

5, -100

1, -100

2, 73.18

3, -100

4, 74.19

5, -100

1, -100

2, 73.18

3, -100

4, 74.19

5, -100

1, -100

2, 73.29

3, -100

4, 74.19

5, -100

1, -100

2, 73.51

3, -100

4, 74.19

5, -100

1, -100

2, 73.74

3, -100

4, 74.19

5, -100

1, -100

2, 74.07

3, -100

4, 74.19

5, -100

1, -100

2, 74.41

3, -100

4, 74.19

5, -100

1, -100

2, 74.75

3, -100

4, 74.19

5, -100

1, -100

2, 75.09

3, -100

4, 74.07

5, -100

1, -100

2, 75.31

3, -100

4, 74.07

5, -100

1, -100

2, 75.65

3, -100

4, 74.07

5, -100

1, -100

2, 75.76

3, -100

4, 74.07

5, -100

1, -100

2, 75.99

3, -100

4, 74.07

5, -100

1, -100

2, 75.99

3, -100

4, 74.07

5, -100

1, -100

2, 76.10

3, -100

4, 74.19

5, -100

1, -100

2, 76.21

3, -100

4, 74.19

5, -100

1, -100

2, 76.21

3, -100

4, 74.19

5, -100

1, -100

2, 76.32

3, -100

4, 74.19

5, -100

1, -100

2, 76.32

3, -100

4, 74.19

5, -100

1, -100

2, 76.32

3, -100

4, 74.07

5, -100

1, -100

2, 76.32

3, -100

4, 74.19

5, -100

1, -100

2, 76.32

3, -100

4, 74.07

5, -100

1, -100

2, 76.44

3, -100

4, 74.07

5, -100

1, -100

2, 76.44

3, -100

4, 74.19

5, -100

1, -100

2, 76.44

3, -100

4, 74.19

5, -100

1, -100

2, 76.44

3, -100

4, 74.19

5, -100

1, -100

2, 76.44

3, -100

4, 74.19

5, -100

1, -100

2, 76.44

3, -100

4, 74.19

5, -100

1, -100

2, 76.44

3, -100

4, 74.07

5, -100

1, -100

2, 76.44

3, -100

4, 74.07

5, -100

1, -100

2, 76.44

3, -100

4, 74.19

5, -100

1, -100

2, 76.44

3, -100

4, 74.19

5, -100

1, -100

2, 76.55

3, -100

4, 74.07

5, -100

1, -100

2, 76.55

3, -100

4, 74.19

5, -100

1, -100

2, 76.44

3, -100

4, 74.07

5, -100

1, -100

2, 76.55

3, -100

4, 74.07

