-1000, -1000, 79.25, 79.59, -1000, 

-1000, -1000, 79.25, 79.59, -1000, 

-1000, -1000, 79.25, 79.59, -1000, 

-1000, -1000, 79.25, 79.59, -1000, 

-1000, -1000, 79.25, 79.59, -1000, 

-1000, -1000, 79.25, 79.70, -1000, 

-1000, -1000, 79.25, 79.59, -1000, 

-1000, -1000, 79.25, 79.59, -1000, 

-1000, -1000, 79.25, 79.70, -1000, 

-1000, -1000, 79.25, 79.59, -1000, 

-1000, -1000, 79.25, 79.59, -1000, 

-1000, -1000, 79.25, 79.59, -1000, 

-1000, -1000, 79.25, 79.59, -1000, 

-1000, -1000, 79.25, 79.70, -1000, 

-1000, -1000, 79.25, 79.70, -1000, 

-1000, -1000, 79.36, 79.70, -1000, 

-1000, -1000, 79.25, 79.70, -1000, 

-1000, -1000, 79.36, 79.59, -1000, 

-1000, -1000, 79.25, 79.59, -1000, 

-1000, -1000, 79.25, 79.59, -1000, 

-1000, -1000, 79.36, 79.59, -1000, 

-1000, -1000, 79.25, 79.70, -1000, 

-1000, -1000, 79.36, 79.70, -1000, 

-1000, -1000, 79.36, 79.59, -1000, 

-1000, -1000, 79.36, 79.70, -1000, 

-1000, -1000, 79.25, 79.70, -1000, 

-1000, -1000, 79.36, 79.70, -1000, 

-1000, -1000, 79.36, 79.70, -1000, 

-1000, -1000, 79.25, 79.70, -1000, 

-1000, -1000, 79.36, 79.70, -1000, 

-1000, -1000, 79.36, 79.70, -1000, 

-1000, -1000, 79.36, 79.70, -1000, 

-1000, -1000, 79.25, 79.70, -1000, 

-1000, -1000, 79.25, 79.70, -1000, 

-1000, -1000, 79.25, 79.70, -1000, 

-1000, -1000, 79.36, 79.70, -1000, 

-1000, -1000, 79.25, 79.70, -1000, 

-1000, -1000, 79.36, 79.70, -1000, 

-1000, -1000, 79.25, 79.70, -1000, 

-1000, -1000, 79.25, 79.70, -1000, 

-1000, -1000, 79.36, 79.70, -1000, 

-1000, -1000, 79.36, 79.70, -1000, 

-1000, -1000, 79.36, 79.70, -1000, 

